"date","NJ__all"
"1903-09-28",100000
"1903-10-05",100000
"1903-10-12",100000
"1903-10-19",100000
"1903-10-26",100000
"1903-11-02",100000
"1903-11-09",100000
"1903-11-16",100000
"1903-11-23",100000
"1903-11-30",100000
"1903-12-07",100000
"1903-12-14",100000
"1903-12-21",100000
"1903-12-28",100000
"1904-01-04",100000
"1904-01-11",100000
"1904-01-18",100000
"1904-01-25",100000
"1904-02-01",100000
"1904-02-08",100000
"1904-02-15",100000
"1904-02-22",100000
"1904-02-29",100000
"1904-03-07",100000
"1904-03-14",100000
"1904-03-21",100000
"1904-03-28",100000
"1904-04-04",100000
"1904-04-11",100000
"1904-04-18",100000
"1904-04-25",100000
"1904-05-02",100000
"1904-05-09",100000
"1904-05-16",100000
"1904-05-23",100000
"1904-05-30",100000
"1904-06-06",100000
"1904-06-13",100000
"1904-06-20",100000
"1904-06-27",100000
"1904-07-04",100000
"1904-07-11",100000
"1904-07-18",100000
"1904-07-25",100000
"1904-08-01",100000
"1904-08-08",100000
"1904-08-15",100000
"1904-08-22",100000
"1904-08-29",100000
"1904-09-05",100000
"1904-09-12",100000
"1904-09-19",100000
"1904-09-26",100000
"1904-10-03",100000
"1904-10-10",100000
"1904-10-17",100000
"1904-10-24",100000
"1904-10-31",100000
"1904-11-07",100000
"1904-11-14",100000
"1904-11-21",100000
"1904-11-28",100000
"1904-12-05",100000
"1904-12-12",100000
"1904-12-19",100000
"1904-12-26",100000
"1905-01-02",100000
"1905-01-09",100000
"1905-01-16",100000
"1905-01-23",100000
"1905-01-30",100000
"1905-02-06",100000
"1905-02-13",100000
"1905-02-20",100000
"1905-02-27",100000
"1905-03-06",100000
"1905-03-13",100000
"1905-03-20",100000
"1905-03-27",100000
"1905-04-03",100000
"1905-04-10",100000
"1905-04-17",100000
"1905-04-24",100000
"1905-05-01",100000
"1905-05-08",100000
"1905-05-15",100000
"1905-05-22",100000
"1905-05-29",100000
"1905-06-05",100000
"1905-06-12",100000
"1905-06-19",100000
"1905-06-26",100000
"1905-07-03",100000
"1905-07-10",100000
"1905-07-17",100000
"1905-07-24",100000
"1905-07-31",100000
"1905-08-07",100000
"1905-08-14",100000
"1905-08-21",100000
"1905-08-28",100000
"1905-09-04",100000
"1905-09-11",100000
"1905-09-18",100000
"1905-09-25",100000
"1905-10-02",100000
"1905-10-09",100000
"1905-10-16",100000
"1905-10-23",100000
"1905-10-30",100000
"1905-11-06",100000
"1905-11-13",100000
"1905-11-20",100000
"1905-11-27",100000
"1905-12-04",100000
"1905-12-11",100000
"1905-12-18",100000
"1905-12-25",100000
"1906-01-01",100000
"1906-01-08",100000
"1906-01-15",100000
"1906-01-22",100000
"1906-01-29",100000
"1906-02-05",100000
"1906-02-12",100000
"1906-02-19",100000
"1906-02-26",100000
"1906-03-05",100000
